Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha),Temperatura
2007,CALDAS,FRIJOL,"1907,2","2029,63","1,06","1,76","1,86",19.5
2007,RISARALDA,FRIJOL,"532,6","585,87","1,1","0,51","0,52","20,1"
2007,RISARALDA,BANANO,816,12891,"15,8","5,79","3,33","20,1"
2007,RISARALDA,PLATANO,21043,"167452,8","7,96","5,86","5,83","20,1"
2007,RISARALDA,AGUACATE,575,"5336,2","9,28","3,07","3,26","20,1"
2007,RISARALDA,CACAO,946,"597,22","0,63","1,04","0,89","20,1"
2007,RISARALDA,YUCA,"223,5",4187,"18,73","0,21","0,12","20,1"
2007,RISARALDA,CAÑA PANELERA,"4020,98","27429,58","6,82","2,15","2,02","20,1"
2007,ANTIOQUIA,BANANO,717,5805,"8,1","2,61","2,93",22.5
2007,CALDAS,BANANO,"486,3","4754,36","9,78","2,14","1,99",19.5
2007,ANTIOQUIA,PLATANO,"41037,72","248220,4","6,05","8,69","11,37",22.5
2007,CALDAS,PLATANO,15757,167359,"10,62","5,86","4,37",19.5
2007,ANTIOQUIA,AGUACATE,"1828,7","19984,1","10,93","11,49","10,36",22.5
2007,CALDAS,AGUACATE,"705,16","5471,2","7,76","3,15","3,99",19.5
2007,ANTIOQUIA,CACAO,"7008,8","2892,2","0,41","5,03","6,61",22.5
2007,CALDAS,CACAO,"976,63","642,33","0,66","1,12","0,92",19.5
2007,ANTIOQUIA,YUCA,"10087,5","150991,4","14,97","7,52","5,36",22.5
2007,CALDAS,YUCA,1776,18496,"10,41","0,92","0,94",19.5
2007,ANTIOQUIA,CAÑA PANELERA,37700,"158235,5","4,2","12,43","18,98",22.5
2007,CALDAS,CAÑA PANELERA,11058,"56269,2","5,09","4,42","5,57",19.5
2008,CALDAS,FRIJOL,"2412,96","3008,69","1,25","2,82","2,5",19.4
2008,RISARALDA,FRIJOL,"552,5","641,1","1,16","0,6","0,57","20,3"
2008,RISARALDA,BANANO,856,14176,"16,56","6,6","3,66","20,3"
2008,RISARALDA,PLATANO,"18678,2","144026,3","7,71","5,54","5,49","20,3"
2008,RISARALDA,AGUACATE,"457,68","5172,02","11,3","3,02","2,57","20,3"
2008,RISARALDA,CACAO,1066,"616,3","0,58","1,05","0,99","20,3"
2008,RISARALDA,YUCA,196,3402,"17,36","0,17","0,11","20,3"
2008,RISARALDA,CAÑA PANELERA,"4055,2","26854,88","6,62","2,21","2,06","20,3"
2008,RISARALDA,FLORES Y FOLLAJES,"145,3","2034,93","14,01","43,23","45,39","20,3"
2008,ANTIOQUIA,BANANO,897,"8697,2","9,7","4,05","3,83",22.4
2008,CALDAS,BANANO,347,3169,"9,13","1,48","1,48",19.4
2008,ANTIOQUIA,PLATANO,"39944,59","247931,6","6,21","9,54","11,75",22.4
2008,CALDAS,PLATANO,15705,"170035,6","10,83","6,55","4,62",19.4
2008,ANTIOQUIA,AGUACATE,"2040,8","20102,8","9,85","11,75","11,45",22.4
2008,CALDAS,AGUACATE,"838,9",6741,"8,04","3,94","4,71",19.4
2008,ANTIOQUIA,CACAO,6234,2574,"0,41","4,39","5,79",22.4
2008,CALDAS,CACAO,"1130,5","705,5","0,62","1,2","1,05",19.4
2008,ANTIOQUIA,YUCA,"8622,8","125953,8","14,61","6,4","4,71",22.4
2008,CALDAS,YUCA,"1881,3",22293,"11,85","1,13","1,03",19.4
2008,ANTIOQUIA,CAÑA PANELERA,"37771,3","156448,5","4,14","12,87","19,16",22.4
2008,CALDAS,CAÑA PANELERA,10372,"53943,75","5,2","4,44","5,26",19.4
2008,CALDAS,FLORES Y FOLLAJES,60,144,"2,4","3,06","18,74",19.4
2009,CALDAS,FRIJOL,"3627,4","4866,78","1,34","4,29","3,65",19.6
2009,RISARALDA,FRIJOL,"597,13","728,15","1,22","0,64","0,6","20,2"
2009,RISARALDA,BANANO,824,"13802,6","16,75","6,38","3,84","20,2"
